ts	x	y	z	label
2020-09-03 09:21:37.822000	-0.576	0.16	-0.384	low_cupboard
2020-09-03 09:21:37.843000	-0.672	0.48	-0.672	low_cupboard
2020-09-03 09:21:37.844000	-0.704	0.544	-0.64	low_cupboard
2020-09-03 09:21:37.915000	-0.608	0.576	-0.768	low_cupboard
2020-09-03 09:21:37.944000	-0.544	0.544	-0.864	low_cupboard
2020-09-03 09:21:37.972000	-0.512	0.48	-0.704	low_cupboard
2020-09-03 09:21:37.993000	-0.608	0.448	-0.704	low_cupboard
2020-09-03 09:21:38.024000	-0.672	0.48	-0.704	low_cupboard
2020-09-03 09:21:38.044000	-0.672	0.544	-0.64	low_cupboard
2020-09-03 09:21:38.095000	-0.672	0.576	-0.608	low_cupboard
2020-09-03 09:21:38.125000	-0.576	0.608	-0.672	low_cupboard
2020-09-03 09:21:38.154000	-0.544	0.48	-0.832	low_cupboard
2020-09-03 09:21:38.182000	-0.288	0.16	-0.64	low_cupboard
2020-09-03 09:21:38.203000	-0.608	0.512	-0.672	low_cupboard
2020-09-03 09:21:38.224000	-0.672	0.512	-0.64	low_cupboard
2020-09-03 09:21:38.272000	-0.576	0.544	-0.672	low_cupboard
2020-09-03 09:21:38.295000	-0.672	0.48	-0.64	low_cupboard
2020-09-03 09:21:38.324000	-0.608	0.48	-0.832	low_cupboard
2020-09-03 09:21:38.325000	-0.544	0.608	-0.704	low_cupboard
2020-09-03 09:21:38.383000	-0.416	0.384	-0.48	low_cupboard
2020-09-03 09:21:38.434000	-0.672	0.48	-0.672	low_cupboard
2020-09-03 09:21:38.505000	-0.576	0.768	-0.704	low_cupboard
2020-09-03 09:21:38.514000	-0.576	0.576	-0.768	low_cupboard
2020-09-03 09:21:38.534000	-0.544	0.544	-0.736	low_cupboard
2020-09-03 09:21:38.593000	-0.448	0.512	-0.864	low_cupboard
2020-09-03 09:21:38.643000	-0.64	0.544	-0.64	low_cupboard
2020-09-03 09:21:38.644000	-0.672	0.512	-0.672	low_cupboard
